windows slope n_comparisons SES slope_sd SES_sd
5 NA 36 NA NA NA
10 1.31766849854025e-06 36 0.00710345904153366 0.000127835512431299 0.951323155163702
15 -3.23286675673725e-05 36 -0.417801531477297 6.44902950986031e-05 0.82757402547038
20 -3.28307611383774e-05 36 -0.575284115465277 5.60179320059638e-05 1.02946828211465
25 -1.24862610018031e-06 36 -0.0414738164442802 4.04810837826347e-05 0.954154882189257
30 -3.75196705396261e-06 36 -0.107886153226346 3.23573936442937e-05 0.934329395271846
35 2.04958738868134e-06 36 0.0670262339672568 2.47601534143647e-05 0.84772418648977
40 4.30924000654972e-06 36 0.16580695151787 2.42909647304373e-05 0.965229703921362
45 1.61640719967405e-06 36 0.0683632053305557 2.00527852679772e-05 0.926290234821763
50 2.9242965074646e-07 36 0.0165808205543328 1.93868014227478e-05 0.972106841586849
55 3.41073075860823e-07 36 0.00870023845880985 2.0086366173779e-05 1.11523920357442
60 3.81415733491847e-06 36 0.24606758088057 1.72957530124049e-05 1.06019926719093
65 1.22915687551463e-06 36 0.0754523506447272 1.64975253548807e-05 1.06820229010914
70 -4.30315821302935e-06 36 -0.307238677399351 1.32708708044635e-05 0.943360954072769
75 -1.79642236598371e-06 36 -0.120223825118556 1.28564492001718e-05 0.985408583155558
80 -1.45368493872587e-06 36 -0.111559737372055 1.18445948328689e-05 0.952986598475923
85 -1.16943166515656e-06 36 -0.106410101164859 1.20358995035073e-05 1.02141431419649
90 1.31241065705407e-06 36 0.119824173024476 1.04486211199443e-05 0.925120525891611
95 1.08325498887281e-06 36 0.0736560226918475 9.73829884609235e-06 0.9443772926912
100 -1.88008115692316e-08 36 0.012266811745759 9.89581906591808e-06 0.976126403247994
105 -2.75095834592388e-07 36 -0.0398105446830615 9.7852443480928e-06 1.0077085687518
110 -5.67269265592869e-07 36 -0.0551657516110719 8.6371223913655e-06 0.919635509471478
115 -4.87789077136908e-07 36 -0.0482657087632268 8.55154984408479e-06 0.943199300068405
120 8.8007723384005e-07 36 0.0879689809179523 9.00663834964488e-06 1.04886397460662
125 -1.15154151937096e-07 36 -0.0161536603801514 8.31654801685763e-06 0.961431869114255
130 1.61172701044956e-06 36 0.254804655826955 8.44035441595891e-06 1.05388207624827
135 1.00805888120575e-06 36 0.134486726604251 8.13333550720552e-06 1.02548206207091
140 4.90785984694671e-07 36 0.0611180214778238 7.9622129752142e-06 1.03561543005954
145 1.09657234393571e-06 36 0.166913701094424 8.00982341540073e-06 1.05592011888999
150 -1.3322141751928e-06 36 -0.165081507595553 7.21153198337945e-06 0.904348315490047
155 -3.14134817494564e-07 36 -0.049604282211605 7.90885646992649e-06 1.08708614830364
160 -6.37247752342799e-07 36 -0.100661782930549 7.66553443228899e-06 1.09810751467848
165 2.14894450819226e-07 36 0.0134373975367309 6.47529004850603e-06 0.937554740666261
170 -5.39562067286132e-07 36 -0.0936920011945562 6.60894339512619e-06 0.918323669405184
175 9.08142947101407e-07 36 0.0990334400572626 5.96733694943423e-06 0.905620815111427
180 3.29717275437634e-07 36 0.025807537287328 5.93819140291666e-06 0.847694588247825
185 -5.09430369965425e-07 36 -0.0867926816075554 7.16122626787669e-06 1.08206468956704
190 -8.37668233437638e-07 36 -0.127794990299081 8.24289517899895e-06 1.20530196239985
195 -1.00632870151081e-06 36 -0.143640605246116 5.42597520095225e-06 0.780346392151051
200 4.25985130511021e-07 36 0.062364272018332 6.33072039133512e-06 0.976673915294396
